Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,93.2,93.67,93.26,93.4,93.57,93.11
CSR,93.53,94.37,94.11,93.68,93.82,94.21
ER,92.67,93.81,93.36,93.94,93.23,93.69
DropMessage,93.0,93.59,93.28,93.94,93.05,93.37
DropNode,92.68,93.48,93.61,93.77,93.47,93.32
DropEdge,92.53,93.49,93.47,93.84,93.47,94.0
DropAttributes,92.97,94.13,93.92,93.86,94.09,93.31
Augmentation,93.11,93.58,93.32,93.8,93.5,93.61
Rewiring,93.07,93.98,93.77,94.1,93.41,93.65
