Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,0.75,0.39,0.5,0.58,0.65,0.72
CSR,0.84,0.58,0.31,0.41,0.54,0.55
ER,0.88,0.48,0.8,0.39,0.61,0.39
DropMessage,0.73,0.74,0.5,0.43,0.87,0.46
DropNode,1.27,0.39,0.52,0.34,0.43,0.47
DropEdge,1.01,0.56,0.45,0.44,0.56,0.4
DropAttributes,0.83,0.27,0.26,0.58,0.5,0.79
Augmentation,0.58,0.49,0.79,0.8,0.56,0.78
Rewiring,0.65,0.39,0.43,0.64,0.88,0.61
