Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,0.72,0.4,0.49,0.56,0.65,0.71
CSR,0.86,0.61,0.29,0.4,0.52,0.53
ER,0.88,0.48,0.78,0.37,0.59,0.4
DropMessage,0.75,0.69,0.48,0.41,0.83,0.46
DropNode,1.15,0.35,0.48,0.36,0.43,0.47
DropEdge,0.99,0.54,0.44,0.42,0.55,0.42
DropAttributes,0.81,0.27,0.24,0.57,0.51,0.81
Augmentation,0.59,0.47,0.77,0.71,0.53,0.8
Rewiring,0.58,0.35,0.44,0.64,0.9,0.62
