Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,93.13,93.62,93.18,93.34,93.57,93.07
CSR,93.51,94.34,94.06,93.65,93.81,94.17
ER,92.62,93.76,93.29,93.89,93.24,93.67
DropMessage,92.9,93.5,93.2,93.88,93.01,93.36
DropNode,92.56,93.41,93.52,93.68,93.47,93.28
DropEdge,92.42,93.38,93.37,93.75,93.45,93.98
DropAttributes,92.89,94.07,93.87,93.81,94.09,93.3
Augmentation,93.09,93.54,93.3,93.78,93.54,93.63
Rewiring,93.02,93.9,93.74,94.07,93.41,93.64
