Method,FS5,FS10
Baseline,27.67,32.46
CSR,29.34,31.34
ER,24.64,31.71
Dropout,27.19,32.61
DropMessage,25.36,28.33
DropNode,21.37,19.86
DropEdge,17.24,26.69
DropAttributes,20.02,18.3
Augmentation,27.77,30.09
Rewiring,27.54,32.16
ProtoNet,26.55,29.45
Siamese_PW,22.25,22.06
Siamese_PW_A,23.89,24.94
Siamese_TPL,26.91,32.09
Siamese_TPL_A,28.21,30.57
Graph_CL,28.64,30.95
