Method,FS5,FS10
Baseline,1.39,1.3
CSR,1.02,0.46
ER,0.93,0.74
Dropout,0.93,0.93
DropMessage,2.13,0.09
DropNode,0.74,1.85
DropEdge,1.67,0.09
DropAttributes,0.0,0.83
Augmentation,0.0,2.04
Rewiring,2.87,0.74
ProtoNet,0.19,0.37
Siamese_PW,0.37,1.39
Siamese_PW_A,1.67,1.76
Siamese_TPL,0.65,0.74
Siamese_TPL_A,1.94,0.46
Graph_CL,0.19,0.65
